Wvl_nm	Ref_228K	a0	a1
548	3.31900E-21	-0.041016	0
549	3.34510E-21	-0.04271	0
550	3.37740E-21	-0.044191	0
551	3.41050E-21	-0.043847	0
552	3.44180E-21	-0.045905	0
553	3.47780E-21	-0.044951	0
554	3.52450E-21	-0.044369	0
555	3.57710E-21	-0.043196	0
556	3.63430E-21	-0.043625	0
557	3.70280E-21	-0.041057	0
558	3.79380E-21	-0.038514	0
559	3.89370E-21	-0.037008	0
560	3.99050E-21	-0.032703	0
561	4.08610E-21	-0.035417	0
562	4.18870E-21	-0.034092	0
563	4.28130E-21	-0.037277	0
564	4.35310E-21	-0.037313	0
565	4.42040E-21	-0.035747	0
566	4.47700E-21	-0.039212	0
567	4.54060E-21	-0.037457	0
568	4.60050E-21	-0.03526	0
569	4.65610E-21	-0.034359	0
570	4.71110E-21	-0.0317	0
571	4.76930E-21	-0.031905	0
572	4.82070E-21	-0.02911	0
573	4.85030E-21	-0.028434	0
574	4.86150E-21	-0.031917	0
575	4.85680E-21	-0.031789	0
576	4.83210E-21	-0.036296	0
577	4.79480E-21	-0.037883	0
578	4.75480E-21	-0.040955	0
579	4.70930E-21	-0.040788	0
580	4.66380E-21	-0.042341	0
581	4.61370E-21	-0.044827	0
582	4.56880E-21	-0.045331	0
583	4.53370E-21	-0.045513	0
584	4.50490E-21	-0.046494	0
585	4.48440E-21	-0.044262	0
586	4.46990E-21	-0.044509	0
587	4.46040E-21	-0.044765	0
588	4.46360E-21	-0.039597	0
589	4.47130E-21	-0.037237	0
590	4.49000E-21	-0.03722	0
591	4.52650E-21	-0.031579	0
592	4.57590E-21	-0.026995	0
593	4.64920E-21	-0.018806	0
594	4.73540E-21	-0.016246	0
595	4.81850E-21	-0.013414	0
596	4.90590E-21	-0.011026	0
597	4.98970E-21	-0.01216	0
598	5.08620E-21	-0.0042811	0
599	5.16690E-21	-0.0093833	0
600	5.23060E-21	-0.01777	0
601	5.26820E-21	-0.019501	0
602	5.28230E-21	-0.023772	0
603	5.27610E-21	-0.024986	0
604	5.24750E-21	-0.027854	0
605	5.20130E-21	-0.030762	0
606	5.13731E-21	-0.029303	0
607	5.05744E-21	-0.034153	0
608	4.96990E-21	-0.033644	0
609	4.87882E-21	-0.036864	0
610	4.78374E-21	-0.03714	0
611	4.68978E-21	-0.039646	0
612	4.59630E-21	-0.038994	0
613	4.50658E-21	-0.041434	0
614	4.42056E-21	-0.041614	0
615	4.33992E-21	-0.03974	0
616	4.26388E-21	-0.040685	0
617	4.19300E-21	-0.042537	0
618	4.12585E-21	-0.041686	0
619	4.06474E-21	-0.040858	0
620	4.01330E-21	-0.040207	0
621	3.96394E-21	-0.03948	0
622	3.91776E-21	-0.039629	0
623	3.87175E-21	-0.039684	0
624	3.83017E-21	-0.038641	0
625	3.78265E-21	-0.040841	0
626	3.73463E-21	-0.041141	0
627	3.68435E-21	-0.04261	0
628	3.63242E-21	-0.047011	0
629	3.57873E-21	-0.050649	0
630	3.52459E-21	-0.047081	0
631	3.47115E-21	-0.050374	0
632	3.41795E-21	-0.052953	0
633	3.36361E-21	-0.054576	0
634	3.30565E-21	-0.058021	0
635	3.24591E-21	-0.06477	0
636	3.18432E-21	-0.075379	0
637	3.12298E-21	-0.068476	0
638	3.06066E-21	-0.077311	0
639	2.99828E-21	-0.083667	0
640	2.93439E-21	-0.081405	0
641	2.87452E-21	-0.084015	0
642	2.81597E-21	-0.085682	0
643	2.75740E-21	-0.088934	0
644	2.70534E-21	-0.083665	0
645	2.65949E-21	-0.085131	0
