wvl_nm	xsec_220K	a(T)
561	5.81420E-20	6.17E-23
562	6.18880E-20	1.06E-22
563	8.39530E-20	7.46E-23
564	1.21460E-19	-9.16E-23
565	1.08450E-19	-5.00E-23
566	6.19560E-20	5.17E-23
567	5.42370E-20	7.47E-23
568	8.00590E-20	-6.75E-24
569	6.47590E-20	9.38E-23
570	7.42530E-20	6.34E-23
571	9.79190E-20	3.33E-23
572	9.49810E-20	-2.21E-23
573	6.58810E-20	5.86E-23
574	4.95090E-20	5.76E-23
575	4.00870E-20	7.55E-23
576	2.64450E-20	1.04E-22
577	2.41970E-20	1.09E-22
578	3.54060E-20	5.11E-23
579	5.59700E-20	9.14E-24
580	5.10940E-20	3.39E-23
581	3.44550E-20	7.89E-23
582	2.87680E-20	7.46E-23
583	2.97670E-20	7.28E-23
584	3.64430E-20	4.35E-23
585	5.92900E-20	-3.57E-23
586	5.52470E-20	-1.31E-23
587	4.88100E-20	-2.85E-24
588	3.59130E-20	4.91E-23
589	3.77470E-20	7.86E-23
590	5.40500E-20	2.91E-23
591	5.57030E-20	2.43E-23
592	7.34770E-20	-1.11E-23
593	7.02070E-20	-1.89E-23
594	4.28830E-20	2.92E-23
595	2.87240E-20	4.34E-23
596	2.38170E-20	6.36E-23
597	2.59170E-20	5.56E-23
598	2.78280E-20	6.02E-23
599	3.48760E-20	3.91E-23
600	4.35930E-20	2.51E-23
601	4.19210E-20	3.32E-23
602	3.69930E-20	8.95E-24
603	2.21930E-20	3.23E-23
604	1.26610E-20	5.05E-23
605	1.35340E-20	4.62E-23
606	1.43000E-20	3.63E-23
607	1.51820E-20	3.35E-23
608	1.79140E-20	2.33E-23
609	1.59570E-20	3.59E-23
610	1.55710E-20	4.55E-23
611	2.39540E-20	4.15E-23
612	4.57960E-20	-3.36E-23
613	4.56710E-20	-2.52E-23
614	3.14110E-20	2.31E-23
615	2.46680E-20	3.32E-23
616	3.29000E-20	1.32E-23
617	3.91930E-20	-5.29E-24
618	2.78250E-20	1.55E-23
619	1.88560E-20	4.06E-23
620	2.75740E-20	1.14E-23
621	2.79690E-20	2.16E-23
622	1.73630E-20	3.56E-23
623	1.99850E-20	2.57E-23
624	1.97000E-20	2.83E-23
625	1.80120E-20	3.87E-23
626	1.66700E-20	1.53E-23
627	1.41500E-20	2.21E-23
628	1.01880E-20	3.52E-23
629	1.07590E-20	2.91E-23
630	7.14190E-21	3.76E-23
631	9.89650E-21	2.93E-23
632	1.23260E-20	1.25E-23
