Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3395E+03 .2039E+00 .2722E+00 .4080E+00 .1521E+00 .1462E+00 .2983E+00
.3400E+03 .2171E+00 .2753E+00 .4199E+00 .1620E+00 .1484E+00 .3103E+00
.3405E+03 .2173E+00 .2737E+00 .4184E+00 .1621E+00 .1479E+00 .3099E+00
.3410E+03 .2046E+00 .2657E+00 .4020E+00 .1526E+00 .1438E+00 .2964E+00
.3415E+03 .2041E+00 .2580E+00 .3939E+00 .1522E+00 .1400E+00 .2922E+00
.3420E+03 .2134E+00 .2667E+00 .4088E+00 .1592E+00 .1451E+00 .3043E+00
.3425E+03 .2221E+00 .2744E+00 .4223E+00 .1656E+00 .1496E+00 .3153E+00
.3430E+03 .2262E+00 .2804E+00 .4311E+00 .1687E+00 .1532E+00 .3220E+00
.3435E+03 .2144E+00 .2661E+00 .4090E+00 .1599E+00 .1458E+00 .3057E+00
.3440E+03 .1859E+00 .2227E+00 .3465E+00 .1387E+00 .1223E+00 .2610E+00
.3445E+03 .1792E+00 .2234E+00 .3428E+00 .1337E+00 .1229E+00 .2566E+00
.3450E+03 .2043E+00 .2466E+00 .3827E+00 .1524E+00 .1361E+00 .2884E+00
.3455E+03 .2183E+00 .2596E+00 .4050E+00 .1629E+00 .1436E+00 .3064E+00
.3460E+03 .2138E+00 .2511E+00 .3935E+00 .1594E+00 .1392E+00 .2987E+00
.3465E+03 .2183E+00 .2540E+00 .3994E+00 .1628E+00 .1412E+00 .3040E+00
.3470E+03 .2225E+00 .2592E+00 .4074E+00 .1660E+00 .1444E+00 .3104E+00
.3475E+03 .2155E+00 .2501E+00 .3936E+00 .1607E+00 .1396E+00 .3004E+00
.3480E+03 .2152E+00 .2456E+00 .3889E+00 .1605E+00 .1375E+00 .2980E+00
.3485E+03 .2195E+00 .2476E+00 .3938E+00 .1637E+00 .1389E+00 .3026E+00
.3490E+03 .2120E+00 .2372E+00 .3784E+00 .1581E+00 .1334E+00 .2916E+00
.3495E+03 .2183E+00 .2429E+00 .3883E+00 .1629E+00 .1370E+00 .2998E+00
.3500E+03 .2418E+00 .2671E+00 .4282E+00 .1804E+00 .1510E+00 .3314E+00
.3505E+03 .2607E+00 .2860E+00 .4597E+00 .1944E+00 .1621E+00 .3565E+00
.3510E+03 .2543E+00 .2783E+00 .4477E+00 .1897E+00 .1581E+00 .3478E+00
.3515E+03 .2454E+00 .2703E+00 .4338E+00 .1831E+00 .1538E+00 .3369E+00
.3520E+03 .2403E+00 .2607E+00 .4207E+00 .1792E+00 .1488E+00 .3280E+00
.3525E+03 .2276E+00 .2441E+00 .3957E+00 .1698E+00 .1396E+00 .3094E+00
.3530E+03 .2426E+00 .2577E+00 .4192E+00 .1809E+00 .1478E+00 .3287E+00
.3535E+03 .2674E+00 .2818E+00 .4599E+00 .1995E+00 .1620E+00 .3615E+00
.3540E+03 .2835E+00 .2963E+00 .4852E+00 .2115E+00 .1708E+00 .3822E+00
.3545E+03 .2874E+00 .2985E+00 .4899E+00 .2144E+00 .1724E+00 .3868E+00
.3550E+03 .2881E+00 .2978E+00 .4898E+00 .2149E+00 .1725E+00 .3874E+00
.3555E+03 .2789E+00 .2863E+00 .4721E+00 .2080E+00 .1662E+00 .3742E+00
.3560E+03 .2624E+00 .2675E+00 .4423E+00 .1957E+00 .1557E+00 .3514E+00
.3565E+03 .2468E+00 .2500E+00 .4144E+00 .1841E+00 .1458E+00 .3299E+00
.3570E+03 .2176E+00 .2191E+00 .3640E+00 .1623E+00 .1281E+00 .2904E+00
.3575E+03 .2208E+00 .2209E+00 .3679E+00 .1647E+00 .1294E+00 .2941E+00
.3580E+03 .2060E+00 .2047E+00 .3419E+00 .1536E+00 .1203E+00 .2739E+00
.3585E+03 .1917E+00 .1894E+00 .3171E+00 .1430E+00 .1115E+00 .2545E+00
.3590E+03 .2261E+00 .2221E+00 .3727E+00 .1687E+00 .1311E+00 .2998E+00
.3595E+03 .2731E+00 .2672E+00 .4492E+00 .2037E+00 .1581E+00 .3619E+00
.3600E+03 .2896E+00 .2815E+00 .4744E+00 .2160E+00 .1670E+00 .3830E+00
.3605E+03 .2744E+00 .2648E+00 .4476E+00 .2047E+00 .1575E+00 .3622E+00
.3610E+03 .2531E+00 .2427E+00 .4113E+00 .1888E+00 .1447E+00 .3335E+00
.3615E+03 .2485E+00 .2368E+00 .4023E+00 .1853E+00 .1415E+00 .3268E+00
.3620E+03 .2611E+00 .2474E+00 .4212E+00 .1947E+00 .1482E+00 .3429E+00
.3625E+03 .2866E+00 .2700E+00 .4609E+00 .2137E+00 .1621E+00 .3759E+00
.3630E+03 .2955E+00 .2768E+00 .4736E+00 .2204E+00 .1666E+00 .3870E+00
.3635E+03 .2880E+00 .2684E+00 .4602E+00 .2148E+00 .1619E+00 .3768E+00
.3640E+03 .2990E+00 .2770E+00 .4762E+00 .2230E+00 .1675E+00 .3906E+00
.3645E+03 .2969E+00 .2735E+00 .4713E+00 .2214E+00 .1658E+00 .3873E+00
.3650E+03 .3090E+00 .2831E+00 .4889E+00 .2305E+00 .1721E+00 .4025E+00
.3655E+03 .3408E+00 .3105E+00 .5375E+00 .2542E+00 .1892E+00 .4434E+00
.3660E+03 .3660E+00 .3316E+00 .5754E+00 .2730E+00 .2025E+00 .4755E+00
.3665E+03 .3675E+00 .3311E+00 .5758E+00 .2741E+00 .2027E+00 .4768E+00
.3670E+03 .3614E+00 .3238E+00 .5645E+00 .2696E+00 .1987E+00 .4683E+00
.3675E+03 .3554E+00 .3166E+00 .5533E+00 .2651E+00 .1948E+00 .4598E+00
.3680E+03 .3353E+00 .2971E+00 .5204E+00 .2501E+00 .1832E+00 .4333E+00
.3685E+03 .3338E+00 .2942E+00 .5166E+00 .2490E+00 .1819E+00 .4309E+00
.3690E+03 .3497E+00 .3066E+00 .5395E+00 .2608E+00 .1900E+00 .4508E+00
.3695E+03 .3765E+00 .3283E+00 .5791E+00 .2808E+00 .2039E+00 .4848E+00
.3700E+03 .3826E+00 .3318E+00 .5866E+00 .2854E+00 .2066E+00 .4920E+00
.3705E+03 .3466E+00 .2990E+00 .5299E+00 .2585E+00 .1867E+00 .4452E+00
.3710E+03 .3528E+00 .3028E+00 .5378E+00 .2632E+00 .1895E+00 .4526E+00
.3715E+03 .3674E+00 .3136E+00 .5583E+00 .2741E+00 .1967E+00 .4708E+00
.3720E+03 .3447E+00 .2926E+00 .5222E+00 .2571E+00 .1840E+00 .4411E+00
.3725E+03 .3291E+00 .2779E+00 .4971E+00 .2454E+00 .1752E+00 .4206E+00
.3730E+03 .3176E+00 .2668E+00 .4784E+00 .2369E+00 .1686E+00 .4055E+00
.3735E+03 .2869E+00 .2398E+00 .4309E+00 .2140E+00 .1519E+00 .3659E+00
.3740E+03 .2867E+00 .2384E+00 .4294E+00 .2139E+00 .1514E+00 .3653E+00
.3745E+03 .2852E+00 .2359E+00 .4259E+00 .2127E+00 .1502E+00 .3629E+00
.3750E+03 .3049E+00 .2510E+00 .4541E+00 .2274E+00 .1601E+00 .3876E+00
.3755E+03 .3378E+00 .2766E+00 .5017E+00 .2520E+00 .1769E+00 .4289E+00
.3760E+03 .3506E+00 .2856E+00 .5191E+00 .2615E+00 .1831E+00 .4446E+00
.3765E+03 .3456E+00 .2801E+00 .5103E+00 .2578E+00 .1800E+00 .4378E+00
.3770E+03 .3715E+00 .2996E+00 .5470E+00 .2771E+00 .1930E+00 .4702E+00
.3775E+03 .4153E+00 .3332E+00 .6098E+00 .3098E+00 .2152E+00 .5250E+00
.3780E+03 .4483E+00 .3579E+00 .6565E+00 .3344E+00 .2317E+00 .5661E+00
.3785E+03 .4379E+00 .3478E+00 .6394E+00 .3266E+00 .2257E+00 .5523E+00
.3790E+03 .3913E+00 .3092E+00 .5699E+00 .2919E+00 .2012E+00 .4931E+00
.3795E+03 .3515E+00 .2764E+00 .5105E+00 .2622E+00 .1803E+00 .4425E+00
.3800E+03 .3702E+00 .2896E+00 .5362E+00 .2761E+00 .1894E+00 .4655E+00
.3805E+03 .3974E+00 .3094E+00 .5741E+00 .2964E+00 .2028E+00 .4992E+00
.3810E+03 .4051E+00 .3139E+00 .5837E+00 .3022E+00 .2063E+00 .5084E+00
.3815E+03 .3658E+00 .2821E+00 .5257E+00 .2728E+00 .1858E+00 .4587E+00
.3820E+03 .3124E+00 .2398E+00 .4479E+00 .2330E+00 .1583E+00 .3914E+00
.3825E+03 .2708E+00 .2069E+00 .3872E+00 .2020E+00 .1369E+00 .3389E+00
.3830E+03 .2432E+00 .1849E+00 .3469E+00 .1814E+00 .1227E+00 .3041E+00
.3835E+03 .2358E+00 .1785E+00 .3356E+00 .1759E+00 .1187E+00 .2946E+00
.3840E+03 .2734E+00 .2059E+00 .3880E+00 .2039E+00 .1373E+00 .3412E+00
.3845E+03 .3297E+00 .2472E+00 .4667E+00 .2459E+00 .1652E+00 .4111E+00
.3850E+03 .3625E+00 .2705E+00 .5120E+00 .2704E+00 .1813E+00 .4517E+00
.3855E+03 .3470E+00 .2578E+00 .4889E+00 .2589E+00 .1732E+00 .4320E+00
.3860E+03 .3354E+00 .2480E+00 .4714E+00 .2502E+00 .1670E+00 .4172E+00
.3865E+03 .3494E+00 .2572E+00 .4899E+00 .2606E+00 .1736E+00 .4342E+00
.3870E+03 .3532E+00 .2587E+00 .4940E+00 .2634E+00 .1751E+00 .4385E+00
.3875E+03 .3487E+00 .2543E+00 .4865E+00 .2601E+00 .1725E+00 .4326E+00
.3880E+03 .3459E+00 .2511E+00 .4815E+00 .2580E+00 .1708E+00 .4288E+00
.3885E+03 .3441E+00 .2487E+00 .4779E+00 .2567E+00 .1695E+00 .4262E+00
.3890E+03 .3742E+00 .2692E+00 .5185E+00 .2791E+00 .1840E+00 .4631E+00
.3895E+03 .4155E+00 .2976E+00 .5743E+00 .3099E+00 .2038E+00 .5138E+00
.3900E+03 .4367E+00 .3113E+00 .6022E+00 .3257E+00 .2138E+00 .5395E+00
.3905E+03 .4411E+00 .3131E+00 .6069E+00 .3290E+00 .2155E+00 .5445E+00
.3910E+03 .4681E+00 .3307E+00 .6425E+00 .3491E+00 .2282E+00 .5774E+00
.3915E+03 .4755E+00 .3345E+00 .6512E+00 .3547E+00 .2314E+00 .5861E+00
.3920E+03 .4386E+00 .3071E+00 .5992E+00 .3271E+00 .2130E+00 .5401E+00
.3925E+03 .3662E+00 .2553E+00 .4991E+00 .2731E+00 .1775E+00 .4506E+00
.3930E+03 .2656E+00 .1843E+00 .3612E+00 .1981E+00 .1285E+00 .3265E+00
.3935E+03 .2115E+00 .1462E+00 .2871E+00 .1578E+00 .1021E+00 .2599E+00
.3940E+03 .2752E+00 .1894E+00 .3727E+00 .2053E+00 .1326E+00 .3379E+00
.3945E+03 .3803E+00 .2606E+00 .5139E+00 .2837E+00 .1829E+00 .4666E+00
.3950E+03 .4499E+00 .3069E+00 .6066E+00 .3356E+00 .2160E+00 .5516E+00
.3955E+03 .4800E+00 .3260E+00 .6457E+00 .3580E+00 .2300E+00 .5880E+00
