wvl_nm	Xsec_O4			
1476	0
1477	0
1478	0
1479	0
1480	0
1481	0
1482	0
1483	0
1484	0
1485	0
1486	0
1487	0
1488	0
1489	0
1490	0
1491	0
1492	0
1493	0
1494	0
1495	0
1496	0
1497	0
1498	0
1499	0
1500	0
1501	0
1502	0
1503	0
1504	0
1505	0
1506	0
1507	0
1508	0
1509	0
1510	0
1511	0
1512	0
1513	0
1514	0
1515	0
1516	0
1517	0
1518	0
1519	0
1520	0
1521	0
1522	0
1523	0
1524	0
1525	0
1526	0
1527	0
1528	0
1529	0
1530	0
1531	0
1532	0
1533	0
1534	0
1535	0
1536	0
1537	0
1538	0
1539	0
1540	0
1541	0
1542	0
1543	0
1544	0
1545	0
1546	0
1547	0
1548	0
1549	0
1550	0
1551	0
1552	0
1553	0
1554	0
1555	0
1556	0
1557	0
1558	0
1559	0
1560	0
1561	0
1562	0
1563	0
1564	0
1565	0
1566	0
1567	0.006339974
1568	0.018725283
1569	0.050715656
1570	0.125958773
1571	0.286871579
1572	0.599127635
1573	1.147423939
1574	2.015121269
1575	3.245272677
1576	4.792630265
1577	6.49036894
1578	8.060046909
1579	9.178643038
1580	9.585
1581	9.178643038
1582	8.060046909
1583	6.49036894
1584	4.792630265
1585	3.245272677
1586	2.015121269
1587	1.147423939
1588	0.599127635
1589	0.286871579
1590	0.125958773
1591	0.050715656
1592	0.018725283
1593	0.006339974
