Wavelength Global Beam Diffuse Ground
.3870E+03 .6619E+00 .4734E+00 .2137E+00 .1191E+00
.3875E+03 .6523E+00 .4673E+00 .2098E+00 .1194E+00
.3880E+03 .6459E+00 .4635E+00 .2069E+00 .1196E+00
.3885E+03 .6414E+00 .4610E+00 .2047E+00 .1199E+00
.3890E+03 .6963E+00 .5012E+00 .2213E+00 .1201E+00
.3895E+03 .7717E+00 .5564E+00 .2443E+00 .1203E+00
.3900E+03 .8096E+00 .5846E+00 .2553E+00 .1206E+00
.3905E+03 .8163E+00 .5904E+00 .2565E+00 .1208E+00
.3910E+03 .8647E+00 .6263E+00 .2706E+00 .1210E+00
.3915E+03 .8770E+00 .6362E+00 .2734E+00 .1212E+00
.3920E+03 .8073E+00 .5866E+00 .2507E+00 .1214E+00
.3925E+03 .6729E+00 .4896E+00 .2081E+00 .1216E+00
.3930E+03 .4872E+00 .3550E+00 .1501E+00 .1219E+00
.3935E+03 .3874E+00 .2827E+00 .1189E+00 .1224E+00
.3940E+03 .5033E+00 .3678E+00 .1539E+00 .1229E+00
.3945E+03 .6944E+00 .5081E+00 .2116E+00 .1234E+00
.3950E+03 .8202E+00 .6010E+00 .2490E+00 .1239E+00
.3955E+03 .8736E+00 .6410E+00 .2642E+00 .1243E+00
.3960E+03 .7681E+00 .5644E+00 .2314E+00 .1245E+00
.3965E+03 .5586E+00 .4110E+00 .1676E+00 .1248E+00
.3970E+03 .4327E+00 .3188E+00 .1294E+00 .1250E+00
.3975E+03 .6390E+00 .4715E+00 .1903E+00 .1253E+00
.3980E+03 .8654E+00 .6394E+00 .2567E+00 .1256E+00
.3985E+03 .1022E+01 .7562E+00 .3021E+00 .1261E+00
.3990E+03 .1085E+01 .8041E+00 .3197E+00 .1266E+00
.3995E+03 .1119E+01 .8298E+00 .3283E+00 .1271E+00
.4000E+03 .1131E+01 .8399E+00 .3306E+00 .1275E+00
.4010E+03 .1176E+01 .8769E+00 .3396E+00 .1281E+00
.4020E+03 .1222E+01 .9139E+00 .3505E+00 .1285E+00
.4030E+03 .1177E+01 .8821E+00 .3351E+00 .1291E+00
.4040E+03 .1196E+01 .8985E+00 .3382E+00 .1301E+00
.4050E+03 .1166E+01 .8785E+00 .3275E+00 .1310E+00
.4060E+03 .1138E+01 .8588E+00 .3172E+00 .1316E+00
.4070E+03 .1117E+01 .8455E+00 .3094E+00 .1321E+00
.4080E+03 .1167E+01 .8849E+00 .3207E+00 .1329E+00
.4090E+03 .1246E+01 .9472E+00 .3403E+00 .1344E+00
.4100E+03 .1063E+01 .8091E+00 .2882E+00 .1359E+00
.4110E+03 .1189E+01 .9077E+00 .3205E+00 .1368E+00
.4120E+03 .1264E+01 .9669E+00 .3384E+00 .1378E+00
.4130E+03 .1213E+01 .9295E+00 .3224E+00 .1388E+00
.4140E+03 .1200E+01 .9213E+00 .3168E+00 .1397E+00
.4150E+03 .1242E+01 .9557E+00 .3258E+00 .1407E+00
.4160E+03 .1279E+01 .9863E+00 .3332E+00 .1412E+00
.4170E+03 .1248E+01 .9639E+00 .3227E+00 .1417E+00
.4180E+03 .1193E+01 .9239E+00 .3066E+00 .1422E+00
.4190E+03 .1242E+01 .9635E+00 .3169E+00 .1427E+00
.4200E+03 .1138E+01 .8847E+00 .2884E+00 .1432E+00
.4210E+03 .1293E+01 .1007E+01 .3254E+00 .1437E+00
.4220E+03 .1275E+01 .9950E+00 .3187E+00 .1441E+00
.4230E+03 .1234E+01 .9653E+00 .3065E+00 .1446E+00
.4240E+03 .1228E+01 .9618E+00 .3027E+00 .1450E+00
.4250E+03 .1265E+01 .9931E+00 .3099E+00 .1455E+00
.4260E+03 .1229E+01 .9667E+00 .2993E+00 .1465E+00
.4270E+03 .1188E+01 .9355E+00 .2873E+00 .1474E+00
.4280E+03 .1199E+01 .9463E+00 .2882E+00 .1484E+00
.4290E+03 .1111E+01 .8777E+00 .2653E+00 .1494E+00
.4300E+03 .8860E+00 .7013E+00 .2103E+00 .1503E+00
.4310E+03 .8042E+00 .6378E+00 .1896E+00 .1507E+00
.4320E+03 .1338E+01 .1063E+01 .3134E+00 .1511E+00
.4330E+03 .1245E+01 .9905E+00 .2897E+00 .1515E+00
.4340E+03 .1150E+01 .9165E+00 .2658E+00 .1520E+00
.4350E+03 .1261E+01 .1007E+01 .2897E+00 .1528E+00
.4360E+03 .1383E+01 .1106E+01 .3160E+00 .1543E+00
.4370E+03 .1412E+01 .1131E+01 .3207E+00 .1557E+00
.4380E+03 .1239E+01 .9937E+00 .2798E+00 .1572E+00
.4390E+03 .1192E+01 .9575E+00 .2675E+00 .1587E+00
.4400E+03 .1367E+01 .1099E+01 .3047E+00 .1597E+00
.4410E+03 .1348E+01 .1086E+01 .2987E+00 .1602E+00
.4420E+03 .1443E+01 .1164E+01 .3176E+00 .1607E+00
.4430E+03 .1463E+01 .1182E+01 .3201E+00 .1616E+00
.4440E+03 .1426E+01 .1154E+01 .3101E+00 .1625E+00
.4450E+03 .1480E+01 .1199E+01 .3198E+00 .1632E+00
.4460E+03 .1327E+01 .1077E+01 .2851E+00 .1638E+00
.4470E+03 .1509E+01 .1226E+01 .3223E+00 .1643E+00
.4480E+03 .1527E+01 .1242E+01 .3240E+00 .1647E+00
.4490E+03 .1523E+01 .1241E+01 .3213E+00 .1652E+00
.4500E+03 .1579E+01 .1288E+01 .3309E+00 .1656E+00
.4510E+03 .1637E+01 .1338E+01 .3411E+00 .1661E+00
.4520E+03 .1567E+01 .1282E+01 .3245E+00 .1666E+00
.4530E+03 .1447E+01 .1185E+01 .2980E+00 .1676E+00
.4540E+03 .1552E+01 .1273E+01 .3178E+00 .1686E+00
.4550E+03 .1541E+01 .1265E+01 .3135E+00 .1692E+00
.4560E+03 .1591E+01 .1309E+01 .3218E+00 .1697E+00
.4570E+03 .1604E+01 .1321E+01 .3224E+00 .1703E+00
.4580E+03 .1570E+01 .1295E+01 .3135E+00 .1712E+00
.4590E+03 .1557E+01 .1286E+01 .3091E+00 .1722E+00
.4600E+03 .1547E+01 .1279E+01 .3052E+00 .1731E+00
.4610E+03 .1601E+01 .1325E+01 .3140E+00 .1741E+00
.4620E+03 .1616E+01 .1339E+01 .3152E+00 .1752E+00
